alpha,beta,mean_polarization,std_polarization,mean_convergence,runs
0.1,0.1,5.787105875046099e-05,2.7485852623275553e-05,70.0,2
0.1,0.30000000000000004,1.553157881667587e-08,3.178497955780695e-11,70.0,2
0.1,0.5,1.5517416915369014e-08,1.7256001300666702e-10,70.0,2
0.1,0.7000000000000001,1.6102607559923168e-08,4.1459250123395483e-10,70.0,2
0.1,0.9,1.5843394735758853e-08,9.24460944815539e-11,70.0,2
0.30000000000000004,0.1,0.003614999728657969,5.778590921740089e-05,70.0,2
0.30000000000000004,0.30000000000000004,0.0004188720953657776,5.038805380744703e-05,70.0,2
0.30000000000000004,0.5,1.652853203708135e-08,1.1916795663831868e-10,70.0,2
0.30000000000000004,0.7000000000000001,1.6030323018831547e-08,3.4687780307340163e-10,70.0,2
0.30000000000000004,0.9,1.5190008926600812e-08,4.482112959849526e-10,70.0,2
0.5,0.1,0.0028300546928618324,0.00018514848470605632,70.0,2
0.5,0.30000000000000004,0.0024230848418715714,0.00028569067954126604,70.0,2
0.5,0.5,0.0005412452392071221,7.518072711205947e-05,70.0,2
0.5,0.7000000000000001,1.6013039621380288e-08,1.0416149115995455e-10,70.0,2
0.5,0.9,1.6585173195770935e-08,2.0439733120177445e-10,70.0,2
0.7000000000000001,0.1,0.003987835673252789,0.00019847582622081771,70.0,2
0.7000000000000001,0.30000000000000004,0.002652289810037529,0.0004132190100987836,70.0,2
0.7000000000000001,0.5,0.0023639598804404793,0.0002912219121254519,70.0,2
0.7000000000000001,0.7000000000000001,0.0011122895302702494,8.580978117458059e-05,70.0,2
0.7000000000000001,0.9,1.7046133832713172e-08,3.439517992503866e-10,70.0,2
0.9,0.1,0.0033864496046957463,8.676076911451227e-05,70.0,2
0.9,0.30000000000000004,0.0029509020930857575,0.00010392803252637925,70.0,2
0.9,0.5,0.003313025772740294,0.00011730318482165887,70.0,2
0.9,0.7000000000000001,0.0028295400881450353,0.0001219971366354009,70.0,2
0.9,0.9,0.0011751607322030132,0.00011905339854933561,70.0,2
