alpha,beta,mean_polarization,std_polarization,mean_convergence,runs
0.1,0.1,1.747554724233693e-05,3.0391458946991326e-06,90.0,3
0.1,0.2,2.2849652399708116e-10,2.845028012557207e-12,90.0,3
0.1,0.30000000000000004,2.354350813292448e-10,7.120809664754159e-13,90.0,3
0.1,0.4,2.293415732443632e-10,8.309671674720192e-12,90.0,3
0.1,0.5,2.393496068640982e-10,3.937114486987968e-12,90.0,3
0.1,0.6,2.3556218989557987e-10,3.3427089769331363e-12,90.0,3
0.1,0.7000000000000001,2.404228229968311e-10,7.936925551360673e-12,90.0,3
0.1,0.8,2.374066416195123e-10,4.211542031721878e-12,90.0,3
0.1,0.9,2.3147473461799683e-10,4.626922620417736e-12,90.0,3
0.2,0.1,0.0016931400832810456,0.000423388842828018,90.0,3
0.2,0.2,9.168872649531609e-05,2.370198024534032e-05,90.0,3
0.2,0.30000000000000004,2.3078985621399114e-10,8.140908285855458e-12,90.0,3
0.2,0.4,2.2887832440815485e-10,5.5528890550472526e-12,90.0,3
0.2,0.5,2.343699465011683e-10,6.370755917362714e-12,90.0,3
0.2,0.6,2.33004498066889e-10,3.587876493950794e-12,90.0,3
0.2,0.7000000000000001,2.3691349362012736e-10,6.610499970047192e-12,90.0,3
0.2,0.8,2.313373538687745e-10,7.28529401117947e-12,90.0,3
0.2,0.9,2.3221656906049012e-10,4.1740915338285505e-12,90.0,3
0.30000000000000004,0.1,0.001711342136654739,0.00020021532372434912,90.0,3
0.30000000000000004,0.2,0.00191496278812773,0.0002307712578681018,90.0,3
0.30000000000000004,0.30000000000000004,0.00021552786415174178,3.549082572781661e-05,90.0,3
0.30000000000000004,0.4,2.3643127613613394e-10,4.264404070549989e-12,90.0,3
0.30000000000000004,0.5,2.3356106483259214e-10,7.322271309896136e-12,90.0,3
0.30000000000000004,0.6,2.311782117281142e-10,7.203328061498162e-12,90.0,3
0.30000000000000004,0.7000000000000001,2.2757693319638595e-10,2.3406558258147748e-12,90.0,3
0.30000000000000004,0.8,2.377945801543312e-10,5.304635200249488e-12,90.0,3
0.30000000000000004,0.9,2.354523144329133e-10,4.547837942371292e-12,90.0,3
0.4,0.1,0.0015724455933378413,0.00042182187267794495,90.0,3
0.4,0.2,0.0012514888337852147,0.0001240940638809661,90.0,3
0.4,0.30000000000000004,0.001754767600925234,0.00022738278906967937,90.0,3
0.4,0.4,0.00036313201264904176,2.698835903347675e-05,90.0,3
0.4,0.5,2.412632416808873e-10,1.0625802840669666e-11,90.0,3
0.4,0.6,2.3342031974882985e-10,4.856576006601435e-12,90.0,3
0.4,0.7000000000000001,2.3283715631462666e-10,1.2782117589440367e-11,90.0,3
0.4,0.8,2.3135451223198195e-10,4.761638506841631e-12,90.0,3
0.4,0.9,2.378258694468901e-10,4.654202093504532e-12,90.0,3
0.5,0.1,0.0022472901565785456,0.0005785361901532848,90.0,3
0.5,0.2,0.0016831983747168221,5.8172413034261874e-05,90.0,3
0.5,0.30000000000000004,0.002050598937261476,0.0006410038713244085,90.0,3
0.5,0.4,0.0018692442318136643,0.0002270683574099328,90.0,3
0.5,0.5,0.0003959396745484476,3.255600910162609e-05,90.0,3
0.5,0.6,2.3131237414941582e-10,4.3899937096748305e-12,90.0,3
0.5,0.7000000000000001,2.3015059256761974e-10,3.255584572104511e-12,90.0,3
0.5,0.8,2.3714301070660755e-10,5.993723789374292e-12,90.0,3
0.5,0.9,2.2886285401477865e-10,3.808700169984404e-12,90.0,3
0.6,0.1,0.0018671697547452588,0.000498883912060173,90.0,3
0.6,0.2,0.0023814683972578376,0.0005859534863098772,90.0,3
0.6,0.30000000000000004,0.0014174493022135772,0.0001452579986873218,90.0,3
0.6,0.4,0.0016964826302013963,0.00044775825574240314,90.0,3
0.6,0.5,0.0017450843285465667,0.00044982650800486085,90.0,3
0.6,0.6,0.0005818769329985807,7.397307550160423e-05,90.0,3
0.6,0.7000000000000001,2.393818385976894e-10,5.858019747950944e-12,90.0,3
0.6,0.8,2.357063208635722e-10,5.319315543605344e-12,90.0,3
0.6,0.9,2.3530899966227196e-10,2.575575746243565e-12,90.0,3
0.7000000000000001,0.1,0.001615912729790932,0.00012030671056220354,90.0,3
0.7000000000000001,0.2,0.001834600288773188,0.0004017200169076556,90.0,3
0.7000000000000001,0.30000000000000004,0.001619654534619111,0.00022110608413220873,90.0,3
0.7000000000000001,0.4,0.0020047182877788836,0.0003821781979746039,90.0,3
0.7000000000000001,0.5,0.0017171444468819326,4.972884067291808e-05,90.0,3
0.7000000000000001,0.6,0.001357739652631519,9.023527445713259e-05,90.0,3
0.7000000000000001,0.7000000000000001,0.0007342484153232497,4.310282938765553e-05,90.0,3
0.7000000000000001,0.8,2.369378593649632e-10,3.5783681346196246e-12,90.0,3
0.7000000000000001,0.9,2.3930419592760284e-10,5.2146308761726e-12,90.0,3
0.8,0.1,0.0017518439381360856,0.000551489693668548,90.0,3
0.8,0.2,0.001852152157588911,0.0005812980178208425,90.0,3
0.8,0.30000000000000004,0.0019406494628108463,0.00021590480211336328,90.0,3
0.8,0.4,0.0021529949175795684,0.00022277046808996909,90.0,3
0.8,0.5,0.0015461578592445326,0.000334530377929786,90.0,3
0.8,0.6,0.0017487478497682973,0.000930401559149167,90.0,3
0.8,0.7000000000000001,0.0018645298637327418,0.0003735279548156324,90.0,3
0.8,0.8,0.0007002138470220548,0.0001365190196317081,90.0,3
0.8,0.9,2.3543574490902325e-10,2.113598384521274e-12,90.0,3
0.9,0.1,0.001880409878367562,0.0002782273137355985,90.0,3
0.9,0.2,0.0015988636675260456,0.00016475438737004167,90.0,3
