alpha,beta,mean_polarization,std_polarization,mean_convergence,runs
0.4,0.3,0.003187282184034718,0.0008405608347328342,70.0,2
0.4,0.35,0.003289969736523983,0.0010535482818362593,70.0,2
0.4,0.39999999999999997,0.0006546946471040204,0.0001615384084038906,70.0,2
0.4,0.44999999999999996,1.5730669486002747e-08,1.054307373143589e-10,70.0,2
0.4,0.49999999999999994,1.5986469053936923e-08,1.1234614730382128e-10,70.0,2
0.4,0.5499999999999999,1.5186546076643435e-08,1.4274782600106502e-10,70.0,2
0.4,0.5999999999999999,1.5755926058638432e-08,3.1804540133728587e-10,70.0,2
0.45,0.3,0.0027960571846381258,0.00014719572012363404,70.0,2
0.45,0.35,0.002370203576626584,0.00023898766573911007,70.0,2
0.45,0.39999999999999997,0.00280282374307849,6.313370642641687e-05,70.0,2
0.45,0.44999999999999996,0.0010631451677026015,0.0002601962221148833,70.0,2
0.45,0.49999999999999994,1.6311924157222672e-08,4.366208664935297e-11,70.0,2
0.45,0.5499999999999999,1.5465497143981277e-08,1.1849107271532756e-10,70.0,2
0.45,0.5999999999999999,1.579327793941013e-08,2.014232304992846e-10,70.0,2
0.5,0.3,0.003238770234762045,0.00029170568235679646,70.0,2
0.5,0.35,0.0029426408866349346,0.0004834290636649048,70.0,2
0.5,0.39999999999999997,0.002938073047312915,0.0001373703167905861,70.0,2
0.5,0.44999999999999996,0.0036018973355172183,0.0005044776278484019,70.0,2
0.5,0.49999999999999994,0.001029745502642931,0.0001403205441401973,70.0,2
0.5,0.5499999999999999,1.591442598930418e-08,3.883946619894329e-10,70.0,2
0.5,0.5999999999999999,1.587751588661168e-08,4.778072338320369e-10,70.0,2
0.55,0.3,0.003378869873369531,0.0013938699411704814,70.0,2
0.55,0.35,0.0020131625605259783,0.00035828432732136874,70.0,2
0.55,0.39999999999999997,0.0029905879066225056,0.0009736632001083913,70.0,2
0.55,0.44999999999999996,0.0026007781488170748,9.229039628964202e-05,70.0,2
0.55,0.49999999999999994,0.003031252503959374,0.0009423343555218101,70.0,2
0.55,0.5499999999999999,0.0011489305337032342,0.00023998461060712638,70.0,2
0.55,0.5999999999999999,1.5334720733981585e-08,1.0816309527282733e-10,70.0,2
0.6,0.3,0.0033589172901077806,0.0015004520829915789,70.0,2
0.6,0.35,0.002880270883616208,0.00014075872552404508,70.0,2
0.6,0.39999999999999997,0.0027832033790549486,0.0010087266904391127,70.0,2
0.6,0.44999999999999996,0.0028489585799470326,5.004272585711826e-05,70.0,2
0.6,0.49999999999999994,0.004099037061962508,9.07264693871643e-05,70.0,2
0.6,0.5499999999999999,0.0021631410978792316,0.00020786195316934916,70.0,2
0.6,0.5999999999999999,0.0012369056483947567,1.4962622730889299e-05,70.0,2
0.6499999999999999,0.3,0.003138094344164926,0.00012255858570394676,70.0,2
0.6499999999999999,0.35,0.0029081305856531923,0.00017432139505679008,70.0,2
0.6499999999999999,0.39999999999999997,0.002886302457156381,0.0003957608143772538,70.0,2
0.6499999999999999,0.44999999999999996,0.003086556640457449,0.00046369610665957547,70.0,2
0.6499999999999999,0.49999999999999994,0.003586796595344813,0.0005345896407052554,70.0,2
0.6499999999999999,0.5499999999999999,0.0026074437041717522,1.3657457266097201e-06,70.0,2
0.6499999999999999,0.5999999999999999,0.002318153392498127,0.00041045506142830884,70.0,2
0.7,0.3,0.003214291030907929,0.0006994314650886086,70.0,2
0.7,0.35,0.0032377486464812595,0.0001251943117044549,70.0,2
0.7,0.39999999999999997,0.003047720843942758,0.00030553686905279405,70.0,2
0.7,0.44999999999999996,0.0027557345208729643,3.554938565351103e-05,70.0,2
0.7,0.49999999999999994,0.0028063737201645617,0.0003682514035708202,70.0,2
0.7,0.5499999999999999,0.002960624783216327,0.00010795976681689484,70.0,2
0.7,0.5999999999999999,0.003546757038254958,0.00016841875652050904,70.0,2
